Step 0: Minibatch Loss= 2.3151, Training Accuracy= 0.260, 12 Examples/sec
Step 1: Minibatch Loss= 2.2418, Training Accuracy= 0.420, 814 Examples/sec
Step 10: Minibatch Loss= 2.1675, Training Accuracy= 0.500, 917 Examples/sec
Step 20: Minibatch Loss= 1.9723, Training Accuracy= 0.680, 1059 Examples/sec
Step 30: Minibatch Loss= 1.6196, Training Accuracy= 0.660, 946 Examples/sec
Step 40: Minibatch Loss= 1.3699, Training Accuracy= 0.680, 932 Examples/sec
Step 50: Minibatch Loss= 0.9368, Training Accuracy= 0.820, 934 Examples/sec
Step 60: Minibatch Loss= 0.7831, Training Accuracy= 0.760, 1018 Examples/sec
Step 70: Minibatch Loss= 0.8872, Training Accuracy= 0.860, 931 Examples/sec
Step 80: Minibatch Loss= 0.5583, Training Accuracy= 0.900, 1029 Examples/sec
Step 90: Minibatch Loss= 0.4155, Training Accuracy= 0.920, 796 Examples/sec
Step 100: Minibatch Loss= 0.4528, Training Accuracy= 0.940, 920 Examples/sec
Step 110: Minibatch Loss= 0.3146, Training Accuracy= 0.920, 978 Examples/sec
Step 120: Minibatch Loss= 0.2142, Training Accuracy= 0.980, 993 Examples/sec
Step 130: Minibatch Loss= 0.2925, Training Accuracy= 0.960, 993 Examples/sec
Step 140: Minibatch Loss= 0.5142, Training Accuracy= 0.900, 1020 Examples/sec
Step 150: Minibatch Loss= 0.3190, Training Accuracy= 0.920, 999 Examples/sec
Step 160: Minibatch Loss= 0.3025, Training Accuracy= 0.960, 975 Examples/sec
Step 170: Minibatch Loss= 0.1972, Training Accuracy= 0.980, 940 Examples/sec
Step 180: Minibatch Loss= 0.1461, Training Accuracy= 0.980, 972 Examples/sec
Step 190: Minibatch Loss= 0.2649, Training Accuracy= 0.980, 926 Examples/sec
Step 200: Minibatch Loss= 0.2689, Training Accuracy= 0.960, 932 Examples/sec
Step 210: Minibatch Loss= 0.2242, Training Accuracy= 0.980, 926 Examples/sec
Step 220: Minibatch Loss= 0.2234, Training Accuracy= 0.940, 801 Examples/sec
Step 230: Minibatch Loss= 0.2184, Training Accuracy= 0.960, 931 Examples/sec
Step 240: Minibatch Loss= 0.2549, Training Accuracy= 0.960, 994 Examples/sec
Step 250: Minibatch Loss= 0.1908, Training Accuracy= 0.960, 911 Examples/sec
Step 260: Minibatch Loss= 0.4720, Training Accuracy= 0.880, 983 Examples/sec
Step 270: Minibatch Loss= 0.2038, Training Accuracy= 0.960, 1031 Examples/sec
Step 280: Minibatch Loss= 0.1940, Training Accuracy= 0.960, 943 Examples/sec
Step 290: Minibatch Loss= 0.3720, Training Accuracy= 0.920, 900 Examples/sec
Step 300: Minibatch Loss= 0.0747, Training Accuracy= 1.000, 948 Examples/sec
Step 310: Minibatch Loss= 0.1487, Training Accuracy= 0.980, 1001 Examples/sec
Step 320: Minibatch Loss= 0.4857, Training Accuracy= 0.880, 991 Examples/sec
Step 330: Minibatch Loss= 0.0379, Training Accuracy= 0.980, 923 Examples/sec
Step 340: Minibatch Loss= 0.1702, Training Accuracy= 0.940, 1027 Examples/sec
Step 350: Minibatch Loss= 0.2445, Training Accuracy= 0.960, 997 Examples/sec
Step 360: Minibatch Loss= 0.3416, Training Accuracy= 0.960, 973 Examples/sec
Step 370: Minibatch Loss= 0.1237, Training Accuracy= 0.980, 934 Examples/sec
Step 380: Minibatch Loss= 0.1427, Training Accuracy= 0.960, 970 Examples/sec
Step 390: Minibatch Loss= 0.1927, Training Accuracy= 0.980, 1000 Examples/sec
Step 400: Minibatch Loss= 0.2887, Training Accuracy= 0.920, 1001 Examples/sec
Step 410: Minibatch Loss= 0.0642, Training Accuracy= 0.980, 891 Examples/sec
Step 420: Minibatch Loss= 0.1211, Training Accuracy= 0.980, 1009 Examples/sec
Step 430: Minibatch Loss= 0.1501, Training Accuracy= 0.980, 921 Examples/sec
Step 440: Minibatch Loss= 0.0832, Training Accuracy= 0.980, 963 Examples/sec
Step 450: Minibatch Loss= 0.3524, Training Accuracy= 0.940, 875 Examples/sec
Step 460: Minibatch Loss= 0.2199, Training Accuracy= 0.940, 938 Examples/sec
Step 470: Minibatch Loss= 0.1070, Training Accuracy= 0.980, 1005 Examples/sec
Step 480: Minibatch Loss= 0.1269, Training Accuracy= 0.980, 983 Examples/sec
Step 490: Minibatch Loss= 0.2053, Training Accuracy= 0.960, 938 Examples/sec
Step 500: Minibatch Loss= 0.0688, Training Accuracy= 1.000, 1017 Examples/sec
Step 510: Minibatch Loss= 0.1305, Training Accuracy= 0.980, 938 Examples/sec
Step 520: Minibatch Loss= 0.0910, Training Accuracy= 1.000, 934 Examples/sec
Step 530: Minibatch Loss= 0.1665, Training Accuracy= 0.960, 920 Examples/sec
Step 540: Minibatch Loss= 0.0460, Training Accuracy= 1.000, 1023 Examples/sec
Step 550: Minibatch Loss= 0.3646, Training Accuracy= 0.940, 1000 Examples/sec
Step 560: Minibatch Loss= 0.0686, Training Accuracy= 0.980, 999 Examples/sec
Step 570: Minibatch Loss= 0.0930, Training Accuracy= 1.000, 940 Examples/sec
Step 580: Minibatch Loss= 0.0819, Training Accuracy= 1.000, 1084 Examples/sec
Step 590: Minibatch Loss= 0.0598, Training Accuracy= 0.960, 919 Examples/sec
Step 600: Minibatch Loss= 0.2181, Training Accuracy= 0.980, 924 Examples/sec
Step 610: Minibatch Loss= 0.2173, Training Accuracy= 0.920, 894 Examples/sec
Step 620: Minibatch Loss= 0.0745, Training Accuracy= 1.000, 983 Examples/sec
Step 630: Minibatch Loss= 0.0355, Training Accuracy= 1.000, 1028 Examples/sec
Step 640: Minibatch Loss= 0.0842, Training Accuracy= 0.960, 1000 Examples/sec
Step 650: Minibatch Loss= 0.0688, Training Accuracy= 0.980, 925 Examples/sec
Step 660: Minibatch Loss= 0.0222, Training Accuracy= 1.000, 1014 Examples/sec
Step 670: Minibatch Loss= 0.1371, Training Accuracy= 0.980, 1002 Examples/sec
Step 680: Minibatch Loss= 0.1311, Training Accuracy= 0.960, 1020 Examples/sec
Step 690: Minibatch Loss= 0.2069, Training Accuracy= 0.980, 957 Examples/sec
Step 700: Minibatch Loss= 0.0175, Training Accuracy= 1.000, 923 Examples/sec
Step 710: Minibatch Loss= 0.0329, Training Accuracy= 1.000, 1008 Examples/sec
Step 720: Minibatch Loss= 0.0881, Training Accuracy= 0.980, 842 Examples/sec
Step 730: Minibatch Loss= 0.0322, Training Accuracy= 1.000, 935 Examples/sec
Step 740: Minibatch Loss= 0.1248, Training Accuracy= 0.960, 957 Examples/sec
Step 750: Minibatch Loss= 0.2130, Training Accuracy= 0.960, 950 Examples/sec
Step 760: Minibatch Loss= 0.0369, Training Accuracy= 0.980, 913 Examples/sec
Step 770: Minibatch Loss= 0.0617, Training Accuracy= 0.980, 930 Examples/sec
Step 780: Minibatch Loss= 0.0315, Training Accuracy= 0.980, 959 Examples/sec
Step 790: Minibatch Loss= 0.0392, Training Accuracy= 1.000, 949 Examples/sec
Step 800: Minibatch Loss= 0.0635, Training Accuracy= 1.000, 969 Examples/sec
Step 810: Minibatch Loss= 0.0889, Training Accuracy= 0.980, 988 Examples/sec
Step 820: Minibatch Loss= 0.0667, Training Accuracy= 0.980, 964 Examples/sec
Step 830: Minibatch Loss= 0.1973, Training Accuracy= 0.980, 1004 Examples/sec
Step 840: Minibatch Loss= 0.1049, Training Accuracy= 0.960, 913 Examples/sec
Step 850: Minibatch Loss= 0.1516, Training Accuracy= 0.980, 971 Examples/sec
Step 860: Minibatch Loss= 0.1193, Training Accuracy= 0.960, 998 Examples/sec
Step 870: Minibatch Loss= 0.0448, Training Accuracy= 0.980, 991 Examples/sec
Step 880: Minibatch Loss= 0.0370, Training Accuracy= 1.000, 938 Examples/sec
Step 890: Minibatch Loss= 0.0691, Training Accuracy= 0.980, 987 Examples/sec
Step 900: Minibatch Loss= 0.1217, Training Accuracy= 1.000, 1010 Examples/sec
